a,b,c,d,e,f,g,h,i,j
PT-.0001-0395TX-0054-010,15005,,PT-.0001-0395,GALIA DUO CAFE ESPUMA 0517 NG KOREANO 70 NG,2,TX-0054-010,KOREANO STD NEGRO,BON_PROD,Y,1
PT-.0001-0395PR-0001-024,15006,,PT-.0001-0395,GALIA DUO CAFE ESPUMA 0517 NG KOREANO 70 NG,3,PR-0001-024,PROCESO LAMINADO ACRILICO NEGRO,BON_PROD,Y,1
PT-.0001-0396TX-0106-013,15007,,PT-.0001-0396,SANDWICH OCRE TST 180 NG,4,TX-0106-013,SANDWICH OCRE,BON_PROD,Y,1
PT-.0001-0396TX-0127-002,15008,,PT-.0001-0396,SANDWICH OCRE TST 180 NG,5,TX-0127-002,TST 180 NEGRO SUAVE,BON_PROD,Y,1
PT-.0001-0396PR-0001-024,15009,,PT-.0001-0396,SANDWICH OCRE TST 180 NG,6,PR-0001-024,PROCESO LAMINADO ACRILICO NEGRO,BON_PROD,Y,1
PT-00003-0578TX-0267-027,15010,,PT-00003-0578,DUBAI CONCRETO MEMORY ELASTIC 4MM ROJO,7,TX-0267-027,DUBAI CONCRETO,MATP,Y,1
PT-00003-0578ES-0003-011,15011,,PT-00003-0578,DUBAI CONCRETO MEMORY ELASTIC 4MM ROJO,8,ES-0003-011,MEMORY ELASTIC 4MM ROJO,MATP,Y,1
PT-00003-0578PR-0001-001,15012,,PT-00003-0578,DUBAI CONCRETO MEMORY ELASTIC 4MM ROJO,9,PR-0001-001,PROCESO LAMINADO ACRILICO,BON_PROD,Y,1
PT-00004-001TX-0266-019,15013,,PT-00004-001,MIA OXFORD 42 NEEDLE 120 NG,10,TX-0266-019,MIA OXFORD 42,TEIMP,Y,1
PT-00004-001TX-0215-002,15014,,PT-00004-001,MIA OXFORD 42 NEEDLE 120 NG,11,TX-0215-002,NEEDLE 120 NEGRO,MATP,Y,1
