,Store Name,Address,Phone Number,Timing,Latitude,Longitude,Links
0,V-Mart,"Hotel Vishal International, Ward No 10, Naraipur, In Front Of Bagaha Railway Station, Bagaha, West Champaran, Bihar, 845105",0880 0837 136,10:00 AM to 10:00 PM,27.129449,84.067077,"https://www.google.com/maps/dir/?api=1&origin=&destination=27.129449,84.067077"
1,V-Mart,"Uk Tower, Supriya Cinema Road, Vidyapati Nagar, West Champaran, Bihar, 845438",0938 6503 359,10:00 AM to 10:00 PM,26.8052529,84.5147847,"https://www.google.com/maps/dir/?api=1&origin=&destination=26.8052529,84.5147847"
2,V-Mart,"Ground Floor, Main Road, Bhabua, Kaimur, Bihar, 821101",0729 0026 406,10:00 AM to 10:00 PM,25.0492808,83.6162927,"https://www.google.com/maps/dir/?api=1&origin=&destination=25.0492808,83.6162927"
3,V-Mart,"Mini Tower Jyoti Prakash Chowk, Koirpurwa, Buxar, Bihar, 802101",0846 7922 657,10:00 AM to 10:00 PM,25.5678685,83.9758813,"https://www.google.com/maps/dir/?api=1&origin=&destination=25.5678685,83.9758813"
4,V-Mart,"Ground Floor, Vijay Market, Opposite To Bus Stand, Banakata, Gopalganj, Bihar, 841413",0938 6361 115,10:00 AM to 10:00 PM,26.4611962,84.4383196,"https://www.google.com/maps/dir/?api=1&origin=&destination=26.4611962,84.4383196"
5,V-Mart,"Rajender Path, Babunia More, Chhapra Road, Pal Nagar, Siwan, Bihar, 841226",0938 6152 670,10:00 AM to 10:00 PM,26.2229575,84.3640737,"https://www.google.com/maps/dir/?api=1&origin=&destination=26.2229575,84.3640737"
6,V-Mart,"Nahar Chowk, Koreiya Tola, Raxaul, East Champaran, Bihar, 845305",0930 4566 272,10:00 AM to 10:00 PM,26.97751,84.84932,"https://www.google.com/maps/dir/?api=1&origin=&destination=26.97751,84.84932"
7,V-Mart,"571, Parmeela Complex, Arrah Road, Golakshani, Bikramganj, Rohtas, Bihar, 802212",0938 6853 426,10:00 AM to 10:00 PM,24.9593854,84.0161204,"https://www.google.com/maps/dir/?api=1&origin=&destination=24.9593854,84.0161204"
8,V-Mart,"National Highway 28A, Janpul Road, Rajendra Nagar, Motihari, East Champaran, Bihar, 845401",0933 4573 250,10:00 AM to 10:00 PM,26.6619615,84.9132496,"https://www.google.com/maps/dir/?api=1&origin=&destination=26.6619615,84.9132496"
9,V-Mart,"Pali Road, Near Dehri On Sone, Dehri, Rohtas, Bihar, 821307",0982 1189 483,10:00 AM to 10:06 PM,24.901713,84.186938,"https://www.google.com/maps/dir/?api=1&origin=&destination=24.901713,84.186938"
