LEAGUE_ID,SEASON_ID,TEAM_ID,POSITION,PLAYED_GAMES,WON,DRAW,LOST,POINTS,GOALS_FOR,GOALS_AGAINST,GOAL_DIFFERENCE,IS_ACTIVE,UPDATED_AT
CL,2350,64,1,8,7,0,1,21,17,5,12,True,
CL,2350,81,2,8,6,1,1,19,28,13,15,True,
CL,2350,57,3,8,6,1,1,19,16,3,13,True,
CL,2350,108,4,8,6,1,1,19,11,1,10,True,
CL,2350,78,5,8,6,0,2,18,20,12,8,True,
CL,2350,3,6,8,5,1,2,16,15,7,8,True,
CL,2350,521,7,8,5,1,2,16,17,10,7,True,
CL,2350,58,8,8,5,1,2,16,13,6,7,True,
CL,2350,102,9,8,4,3,1,15,20,6,14,True,
CL,2350,4,10,8,5,0,3,15,22,12,10,True,
CL,2350,86,11,8,5,0,3,15,20,12,8,True,
CL,2350,5,12,8,5,0,3,15,20,12,8,True,
CL,2350,98,13,8,5,0,3,15,14,11,3,True,
CL,2350,674,14,8,4,2,2,14,16,12,4,True,
CL,2350,524,15,8,4,1,3,13,14,9,5,True,
CL,2350,1903,16,8,4,1,3,13,16,12,4,True,
CL,2350,548,17,8,4,1,3,13,13,13,0,True,
CL,2350,512,18,8,4,1,3,13,10,11,-1,True,
CL,2350,675,19,8,4,1,3,13,18,21,-3,True,
CL,2350,109,20,8,3,3,2,12,9,7,2,True,
CL,2350,732,21,8,3,3,2,12,13,14,-1,True,
CL,2350,65,22,8,3,2,3,11,18,14,4,True,
CL,2350,498,23,8,3,2,3,11,13,12,1,True,
CL,2350,851,24,8,3,2,3,11,7,11,-4,True,
CL,2350,755,25,8,3,2,3,11,12,19,-7,True,
CL,2350,10,26,8,3,1,4,10,13,17,-4,True,
CL,2350,1887,27,8,2,1,5,7,8,16,-8,True,
CL,2350,103,28,8,1,3,4,6,4,9,-5,True,
CL,2350,7283,29,8,2,0,6,6,13,22,-9,True,
CL,2350,2021,30,8,2,0,6,6,5,14,-9,True,
CL,2350,907,31,8,1,1,6,4,7,21,-14,True,
CL,2350,721,32,8,1,0,7,3,8,15,-7,True,
CL,2350,298,33,8,1,0,7,3,5,13,-8,True,
CL,2350,1877,34,8,1,0,7,3,5,27,-22,True,
CL,2350,7509,35,8,0,0,8,0,7,27,-20,True,
CL,2350,1871,36,8,0,0,8,0,3,24,-21,True,
BL1,2308,5,1,21,17,3,1,54,65,19,46,True,
BL1,2308,3,2,21,13,7,1,46,49,27,22,True,
BL1,2308,19,3,21,11,6,4,39,46,28,18,True,
BL1,2308,721,4,21,10,6,5,36,36,29,7,True,
BL1,2308,10,5,21,10,5,6,35,39,31,8,True,
BL1,2308,17,6,21,10,3,8,33,28,36,-8,True,
BL1,2308,15,7,21,9,5,7,32,33,24,9,True,
BL1,2308,18,8,21,9,4,8,31,33,31,2,True,
BL1,2308,11,9,21,8,6,7,30,43,35,8,True,
BL1,2308,12,10,21,8,6,7,30,34,39,-5,True,
BL1,2308,4,11,21,8,5,8,29,37,36,1,True,
BL1,2308,16,12,21,7,6,8,27,24,35,-11,True,
BL1,2308,28,13,21,6,6,9,24,20,27,-7,True,
BL1,2308,20,14,21,6,3,12,21,18,24,-6,True,
BL1,2308,2,15,21,4,6,11,18,26,44,-18,True,
BL1,2308,44,16,21,4,2,15,14,25,43,-18,True,
BL1,2308,720,17,21,3,4,14,13,33,54,-21,True,
BL1,2308,36,18,21,2,5,14,11,19,46,-27,True,
SA,2310,113,1,24,17,4,3,55,39,17,22,True,
SA,2310,108,2,24,16,6,2,54,58,23,35,True,
SA,2310,102,3,24,15,5,4,50,54,26,28,True,
SA,2310,110,4,24,14,3,7,45,45,32,13,True,
SA,2310,109,5,24,10,13,1,43,41,21,20,True,
SA,2310,99,6,24,12,6,6,42,41,25,16,True,
SA,2310,98,7,23,10,8,5,38,35,24,11,True,
SA,2310,103,8,23,9,11,3,38,35,27,8,True,
SA,2310,100,9,24,9,7,8,34,35,29,6,True,
SA,2310,115,10,24,8,6,10,30,29,37,-8,True,
SA,2310,586,11,24,6,10,8,28,25,28,-3,True,
SA,2310,107,12,24,6,9,9,27,22,33,-11,True,
SA,2310,104,13,24,6,6,12,24,26,39,-13,True,
SA,2310,5890,14,24,6,6,12,24,18,41,-23,True,
SA,2310,450,15,24,7,2,15,23,26,53,-27,True,
SA,2310,7397,16,24,5,7,12,22,28,40,-12,True,
SA,2310,445,17,24,4,9,11,21,22,35,-13,True,
SA,2310,112,18,24,4,8,12,20,30,44,-14,True,
SA,2310,454,19,24,3,7,14,16,22,39,-17,True,
SA,2310,5911,20,24,2,7,15,13,21,39,-18,True,
PL,2287,64,1,23,17,5,1,56,56,21,35,True,
PL,2287,57,2,24,14,8,2,50,49,22,27,True,
PL,2287,351,3,24,14,5,5,47,40,27,13,True,
PL,2287,61,4,24,12,7,5,43,47,31,16,True,
PL,2287,65,5,24,12,5,7,41,48,35,13,True,
PL,2287,67,6,24,12,5,7,41,42,29,13,True,
PL,2287,1044,7,24,11,7,6,40,41,28,13,True,
PL,2287,58,8,24,10,7,7,37,34,37,-3,True,
PL,2287,63,9,24,9,9,6,36,36,32,4,True,
PL,2287,397,10,24,8,10,6,34,35,38,-3,True,
PL,2287,402,11,24,9,4,11,31,42,42,0,True,
PL,2287,354,12,24,7,9,8,30,28,30,-2,True,
PL,2287,66,13,24,8,5,11,29,28,34,-6,True,
PL,2287,73,14,24,8,3,13,27,48,37,11,True,
PL,2287,563,15,24,7,6,11,27,29,46,-17,True,
PL,2287,62,16,23,6,8,9,26,23,28,-5,True,
PL,2287,76,17,24,5,4,15,19,34,52,-18,True,
PL,2287,338,18,24,4,5,15,17,25,53,-28,True,
PL,2287,349,19,24,3,7,14,16,22,49,-27,True,
PL,2287,340,20,24,2,3,19,9,18,54,-36,True,
PD,2292,86,1,23,15,5,3,50,51,22,29,True,
PD,2292,78,2,23,14,7,2,49,38,15,23,True,
PD,2292,81,3,23,15,3,5,48,64,25,39,True,
PD,2292,77,4,23,12,8,3,44,36,20,16,True,
PD,2292,94,5,23,11,7,5,40,46,34,12,True,
PD,2292,87,6,23,9,8,6,35,27,24,3,True,
PD,2292,92,7,23,9,4,10,31,20,20,0,True,
PD,2292,298,8,23,9,4,10,31,31,33,-2,True,
PD,2292,79,9,23,7,10,6,31,28,32,-4,True,
PD,2292,89,10,23,9,4,10,31,20,29,-9,True,
PD,2292,90,11,23,7,8,8,29,27,31,-4,True,
PD,2292,558,12,23,8,4,11,28,34,37,-3,True,
PD,2292,559,13,23,7,7,9,28,25,34,-9,True,
PD,2292,82,14,23,6,9,8,27,18,17,1,True,
PD,2292,275,15,23,6,5,12,23,28,38,-10,True,
PD,2292,80,16,23,6,5,12,23,22,35,-13,True,
PD,2292,745,17,23,5,8,10,23,19,32,-13,True,
PD,2292,95,18,23,5,7,11,22,24,37,-13,True,
PD,2292,263,19,23,5,6,12,21,25,35,-10,True,
PD,2292,250,20,23,4,3,16,15,15,48,-33,True,
